"participant";"included";"number_lessons";"math_edu";"lessons";"ins_lessons"
"part1_35";1;3;5;123;0
"part10";1;7;2;5671234;0
"part10_35";1;5;2;71234;1
"part11_35";1;3;4;234;0
"part12";1;7;2;6712345;1
"part12_35";1;5;2;56712;1
"part13";1;1;5;7;0
"part13_35";1;3;2;567;1
"part14";1;7;2;7123456;1
"part14_35";1;5;5;34567;1
"part15";1;1;2;1;0
"part15_35";1;3;6;765;0
"part16";1;7;4;7654321;1
"part16_35";1;5;2;76543;1
"part17";1;1;2;2;0
"part17_35";1;3;2;432;0
"part18";1;7;0;6543217;1
"part18_35";1;5;2;21765;0
"part19_35";1;3;4;176;1
"part2_35";1;5;2;12345;0
"part20";1;7;7;5432176;0
"part20_35";1;5;2;43217;1
"part21";1;1;4;4;0
"part21_35";1;3;2;543;0
"part22";1;7;7;4321765;0
"part22_35";1;5;5;65432;1
"part24_35";1;5;3;17654;1
"part25";1;1;4;6;0
"part26_35";1;5;2;32176;0
"part27";1;1;6;7;1
"part27_35";1;3;5;321;0
"part28";1;7;7;1765432;0
"part28_35";1;5;2;54321;0
"part29";1;1;4;1;1
"part3_35";1;3;2;456;0
"part30";1;7;4;1234567;0
"part30_35";1;5;2;45671;1
"part31";1;1;6;2;0
"part31_35";1;3;4;217;0
"part32_35";1;3;4;654;0
"part33";1;1;3;6;0
"part34";1;7;5;3217654;1
"part36";1;7;5;2176543;0
"part37";1;1;3;5;0
"part38";1;1;2;3;0
"part4";1;7;5;2345671;1
"part4_35";1;5;6;67123;1
"part5";1;1;7;3;0
"part5_35";1;3;5;712;0
"part6";1;7;7;3456712;1
"part7";1;1;7;4;0
"part7_35";1;3;6;345;1
"part8";1;7;7;4567123;1
"part8_35";1;5;7;23456;0
"part9";1;1;2;5;0
"part9_35";1;3;4;671;0
